rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
70,569,0.6975754863198305,1.4371949589088473,0.9848122475277568,0,1.3410957171577937,-0.09609924175105355,6,0,1,14,32.77528198750403,0,21,0.013127098106858233,60,53,0,24,12,2.8798955595029336
71,656,0.6879300463869067,2.273557907273843,1.5272243871682316,0.4963259974993966,1.5491590971327227,-0.7243988101411203,6,0,1,14,43.2131046537193,0,21,0.023452866660706374,59,41,0,25,9,1.5696193772479226
72,525,0.6873290635989393,1.918794016859285,1.2274404392127063,0.4874152394141852,1.3096192809263314,-0.6091747359329536,6,0,1,14,25.220911129731572,0,33,0.012967045594476718,47,51,0,30,7,1.5518862831828892
73,198,0.6698536431183881,20.770368789921225,43.029589630420304,0,2.1955806006818146,-18.57478818923941,6,0,1,14,35.114717374975726,0,33,0.010782550050701807,51,43,0,30,9,3.7608067978438697
74,261,0.6575603221305519,1.437942917769015,1.3011830354458733,0,1.2290131507416335,-0.20892976702738153,6,0,1,14,40.95385788273797,1,35,0.013911454189386122,59,40,0,25,13,2.100841445104023
75,884,0.6527206101977829,1.7458218641573902,1.4374070500461953,0,1.3882231067012019,-0.3575987574561883,6,0,1,14,37.822943703171525,1,26,0.01335526771314756,41,62,0,28,10,3.119526835128063
76,574,0.6477125180859693,1.4043290926048735,0.8455638398796486,0.23382224516000463,1.396855851187117,-0.007473241417756515,6,0,1,14,36.6831050611332,0,35,0.013778091300548872,42,65,0,21,8,1.8880371301164471
77,593,0.6311623756395055,2.4989238506459484,2.19099337718649,0,1.5611675286465658,-0.9377563219993825,6,0,1,14,33.38986155413954,1,30,0.010923901000095024,53,47,0,30,7,2.131632303726154
78,502,0.6217994225683321,2.2938150167209046,2.0434686060723646,0,1.9024556823052012,-0.39135933441570336,6,0,1,14,36.93603577047943,1,22,0.01323507604313007,60,54,0,30,12,3.715036516789836
79,460,0.5861211708458607,3.3029189531985854,2.8254221326124047,0.428100791727288,2.1020001852433974,-1.200918767955188,6,0,1,14,26.062535074876696,1,40,0.016912892726401653,41,50,0,25,7,2.7864278820398187
80,153,0.5647803253068375,1.7694686631790926,1.273788716275867,0.3992857347297201,1.6372294913496284,-0.1322391718294642,6,0,1,14,33.706667045175124,1,33,0.011709214644450698,47,66,0,26,11,2.79529322485022
81,905,0.5614147786805319,1.6736462577727291,1.2868695056587067,0.2555294934873275,1.4478765864408742,-0.22576967133185488,6,0,1,14,31.76718373076732,1,29,0.010517389869990202,51,55,0,24,7,2.912321729758375
82,418,0.48114666586595733,84.78107432060688,184.86527371403392,0.4823106945798418,3.71730687542639,-81.06376744518049,6,0,1,14,38.99054065299681,0,40,0.015857476207853972,47,64,0,26,10,1.7988943321412851
83,410,0.47382168929944124,13.800977794910148,28.241735883216986,0,1.4820894152097643,-12.318888379700384,6,0,1,14,28.973872230984114,0,22,0.010698736141232762,50,42,0,25,8,2.7435140474337905
84,263,0.44798183641582656,1.8609343119458643,1.3214426154285752,0.2534518900318215,1.4686463018535356,-0.3922880100923287,6,0,1,14,33.38242390569272,0,27,0.01080457613736026,48,58,0,26,7,1.7640882184404532
85,402,0.41205587013471856,1.4183853518885285,0.8567659348202579,0.46538812590594986,1.131147043398658,-0.28723830848987064,6,0,1,14,25.435118280834036,1,26,0.01030974131265487,60,46,0,30,12,1.724055844980502
86,436,0.4016846003145298,2.0977911367979964,1.6583077223081721,0,2.09924401144289,0.0014528746448934093,6,0,1,14,35.68830609645195,1,21,0.012527051955271025,43,59,0,20,10,2.936705429856855
87,636,0.3881582735732574,10.332711834037957,19.99857074021644,0,1.8469405492104798,-8.485771284827477,6,0,1,14,30.788945891277436,1,34,0.014488568723377473,41,61,0,30,13,3.5623648807529924
88,177,0.38185432355288595,2.481740215392039,2.470986204342999,0.3722108936955095,1.8666219242060922,-0.615118291185947,6,0,1,14,39.78808699835131,0,23,0.015029473976697945,40,59,0,27,13,2.6458766154498825
89,345,0.36302002750912554,1.5422394429568662,0.989489366656082,0.34525177347201047,1.3134577535309997,-0.22878168942586652,6,0,1,14,38.44571541779152,1,27,0.01509056304998155,47,63,0,24,12,2.0052016246749313
90,88,0.3579961925248001,1.243377394240905,1.00347524248617,0,1.183256045047414,-0.06012134919349088,6,0,1,14,31.488936194706973,1,29,0.016584234561468732,58,70,0,21,8,3.079739426271248
